Civ_Draft,draft_host,draft_guest,Preset,player,executingPlayer,actionType,Civ,isRandomlyChosen,offset,action,PickNo,FirstPick,GlobalBan,Picker
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Byzantines,FALSE,1168,NA,1,0,1,Jibatong
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Bohemians,FALSE,7185,NA,2,0,1,Nezzar
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Portuguese,FALSE,8443,NA,3,0,1,Nezzar
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Aztecs,FALSE,10594,NA,4,0,1,Jibatong
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Franks,FALSE,11454,NA,5,0,1,Jibatong
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Chinese,FALSE,11933,NA,6,0,1,Nezzar
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Incas,FALSE,14632,NA,1,1,0,Nezzar
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Georgians,FALSE,16138,NA,2,1,0,Jibatong
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Romans,FALSE,18768,NA,3,0,0,Nezzar
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Gurjaras,FALSE,21315,NA,4,0,0,Jibatong
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Mayans,FALSE,23265,NA,5,0,0,Jibatong
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Persians,FALSE,51375,NA,6,0,0,Nezzar
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Khmer,FALSE,78348,NA,7,0,0,Nezzar
bxGEX,JBT,Nezzar,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Mongols,FALSE,83492,NA,8,0,0,Jibatong
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Aztecs,FALSE,1431,NA,1,0,1,Daniel
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Mongols,FALSE,11674,NA,2,0,1,Blackheart
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Chinese,FALSE,32179,NA,3,0,1,Blackheart
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Incas,FALSE,37314,NA,4,0,1,Daniel
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Mayans,FALSE,50031,NA,5,0,1,Daniel
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Lithuanians,FALSE,60156,NA,6,0,1,Blackheart
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Persians,FALSE,75539,NA,1,1,0,Daniel
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Portuguese,FALSE,76517,NA,2,1,0,Blackheart
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Vietnamese,FALSE,97210,NA,3,0,0,Blackheart
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Khmer,FALSE,105254,NA,4,0,0,Daniel
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Cumans,FALSE,121809,NA,5,0,0,Daniel
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Hindustanis,FALSE,134022,NA,6,0,0,Blackheart
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Malians,FALSE,157773,NA,7,0,0,Blackheart
CDQJQ,daniel,Blackheart,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Magyars,FALSE,187981,NA,8,0,0,Daniel
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,HOST,HOST,ban,Byzantines,FALSE,3650,NA,1,0,1,MbL
